keys,pt_PT,en,_context,_max_chars,_notes
OFFER_THE_TREE_YOU_PLANTED,A árvore que plantaste.,The tree you planted.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_TELL_ME_A_NAME,Diz-me um nome.,Tell me a name.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_WHAT_YOU_BURIED,O que enterraste.,What you buried.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_WHAT_WAS_HERE_BEFORE,O que estava aqui antes de ti.,What was here before you.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_KEEP_THE_LANTERN,Fica com a candeia por uma noite.,Keep the lantern for one night.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_AN_HEIR,Um herdeiro.,An heir.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
OFFER_GIVE_BACK_WHATS_MINE,Devolve-me o que é meu.,Give me back what is mine.,fala da Podridão — §75,48,"Oito palavras no máximo. Nunca ameaça, nunca explica, nunca trata por vós."
TITLE_THE_ONE_WHO_STAYED,O Que Ficou,The One Who Stayed,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_THE_ONE_WHO_STAYED,Aguentou,Held out,"feito, para o registo e a encomendação — §76",28,
TITLE_SHE_WHO_HELD_THE_GATE,A Que Ficou na Porta,She Who Stayed at the Gate,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_SHE_WHO_HELD_THE_GATE,Último na porta,Last at the gate,"feito, para o registo e a encomendação — §76",28,
TITLE_THE_ONE_WHO_BROKE_STONE,O Que Partiu a Pedra,The One Who Broke the Stone,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_THE_ONE_WHO_BROKE_STONE,Partiu o cerco,Broke the siege,"feito, para o registo e a encomendação — §76",28,
TITLE_THE_COUNTER,O Contador,The Counter,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_THE_COUNTER,Contou,Counted,"feito, para o registo e a encomendação — §76",28,
TITLE_THE_ONE_WHO_BROUGHT_THE_OTHERS,O Que Trouxe os Outros,The One Who Brought the Others,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_THE_ONE_WHO_BROUGHT_THE_OTHERS,Trouxe os outros,Brought the others,"feito, para o registo e a encomendação — §76",28,
TITLE_SHE_WHO_SPOKE_WITH_HER,A Que Falou com Ela,She Who Spoke With Her,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_SHE_WHO_SPOKE_WITH_HER,Falou com ela,Spoke with her,"feito, para o registo e a encomendação — §76",28,
TITLE_THE_DRY_ONE,O Seco,The Dry One,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_THE_DRY_ONE,Não comeu,Did not eat,"feito, para o registo e a encomendação — §76",28,
TITLE_SHE_WHO_CAME_BACK,A Que Voltou,She Who Came Back,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_SHE_WHO_CAME_BACK,Voltou,Came back,"feito, para o registo e a encomendação — §76",28,
TITLE_THE_ONE_WITH_THE_SAME_SPEAR,O Da Mesma Lança,The One With the Same Spear,título de tropa — §76,36,Ganho por feito na alvorada; o ordinal acrescenta-se em código (D-08).
FEAT_THE_ONE_WITH_THE_SAME_SPEAR,Não largou,Never let go,"feito, para o registo e a encomendação — §76",28,
CHAPTER_CROSSROAD_SOULS,As Alminhas do Cruzamento,The Souls at the Crossroad,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_CROSSROAD_SOULS,"Deixa uma moeda no nicho e as almas pintadas apontam por onde a Podridão vem esta noite. Tira uma moeda e, durante três dias, todas as leituras de estrada mentem — inclusive as do teu companheiro.","Leave a coin in the shrine and the painted souls point to where the Rot comes from tonight. Take a coin and, for three days, every road reading lies — your companion's included.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_CROSSROAD_SOULS,Ninguém. Um nicho de pedra com almas em chamas pintadas a vermelho e a branco por alguém que não sabia desenhar mãos.,"No one. A stone shrine with souls in flames, painted red and white by someone who could not draw hands.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_STOPPED_PILGRIMAGE,A Romaria Parada,The Halted Pilgrimage,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_STOPPED_PILGRIMAGE,Atravessar este segmento a pé custa o dobro do tempo. Larga uma moeda no andor e a procissão leva-te ao outro lado em 8 s — mas as tuas tropas andam ao passo dela durante um dia inteiro.,Crossing this segment on foot costs twice the time. Drop a coin on the litter and the procession carries you across in 8 s — but your troops keep its pace for a whole day.,"a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_STOPPED_PILGRIMAGE,"O Mordomo da Festa, que garante que falta pouco. Falta pouco desde o princípio.","The Feast Steward, who assures you it is not far now. It has not been far since the start.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_HOUSE_THAT_COUNTS,A Casa Que Conta,The House That Counts,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_HOUSE_THAT_COUNTS,"A Contadeira conta tudo o que passa. À terceira vez que passares, fica com um nome teu. Se à primeira contagem lhe deres um nome de livre vontade, ela diz-te a massa exata da Podridão, todas as noites, até ao fim da partida.","The Counting Woman counts everything that passes. On your third crossing she keeps a name of yours. Give her one freely at the first count and she tells you the Rot's exact mass, every night, to the end of the run.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_HOUSE_THAT_COUNTS,"A Contadeira. Enquanto fala contigo continua a contar, em voz baixa, por cima do que estás a dizer.","The Counting Woman. While she speaks to you she keeps counting, under her breath, over whatever you are saying.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_INVERTED_FLOODPLAIN,A Várzea Invertida,The Inverted Floodplain,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_INVERTED_FLOODPLAIN,"As faixas trocam. A faixa aérea anda-se, a superfície voa-se, e a Podridão chega por cima — a candeia fica por baixo de ti.","The bands swap. The air band is walked, the surface is flown, and the Rot arrives from above — the lantern hangs below you.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_INVERTED_FLOODPLAIN,"Uma moura encantada, de cabeça para baixo no fundo de um poço que está no céu, que pergunta pelas horas.","An enchanted moura, upside down at the bottom of a well that is in the sky, asking for the time.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_BLIND_FURROW,O Sulco Cego,The Blind Furrow,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_BLIND_FURROW,"Não há luz. Só o Cavaleiro Selado se orienta, porque já não usava os olhos. Qualquer luz que leves revela 60 px à tua volta e acrescenta +30 à massa desta noite — o que te vê também vê a luz.","There is no light. Only the Sealed Knight finds his way, because he had stopped using his eyes. Any light you carry reveals 60 px around you and adds +30 to tonight's mass — whatever sees you sees the light too.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_BLIND_FURROW,Pessoas a conversar a trinta metros. Nunca se chega a trinta metros.,People talking thirty metres away. You never get to thirty metres.,o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_LIT_OVEN,O Forno Aceso,The Lit Oven,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_LIT_OVEN,"Qualquer tropa que durma aqui cura por completo e sai com uma brasa no peito. Arde seis dias. Ao sétimo, cria raiz onde estiver — dentro das tuas muralhas inclusive.",Any troop that sleeps here heals completely and leaves with an ember in its chest. It burns for six days. On the seventh it takes root wherever it stands — inside your walls included.,"a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_LIT_OVEN,"Um padeiro que não tem cara, porque a cara é a boca do forno.","A baker with no face, because the face is the mouth of the oven.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_BONE_MARKET,O Mercado dos Ossos,The Bone Market,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_BONE_MARKET,"Mercenários a metade do preço, dívida ao dobro do juro. Não se sai da praça com dívida por pagar — o portão não abre.","Mercenaries at half price, debt at twice the interest. No one leaves the square with debt unpaid — the gate does not open.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_BONE_MARKET,"Os últimos donos da mercadoria, ainda de pé nas bancas, à espera de serem pagos. São sete.","The last owners of the goods, still standing at their stalls, waiting to be paid. There are seven.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_SPORE_FIELD,O Campo de Esporos,The Spore Field,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_SPORE_FIELD,As tropas ganham 20% de dano e perdem 15% de vida por dia enquanto lá estiverem.,Troops gain 20% damage and lose 15% health per day for as long as they stay.,"a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_SPORE_FIELD,"A cidade Sob-Raiz por baixo, intacta, e as pessoas ainda lá a trabalhar. Ninguém lá em baixo pede ajuda.","The Under-Root city below, intact, and the people still working in it. No one down there asks for help.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_BRIDGE_OF_RETURNERS,A Ponte dos Que Voltaram,The Bridge of Those Who Came Back,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_BRIDGE_OF_RETURNERS,"Atravessar custa uma memória — uma região revelada do mapa volta a ficar escura, à sorte. Voltar atrás devolve-a. À sexta travessia, a ponte dá-te um nome e um segmento da tua muralha muda de material sozinho.","Crossing costs a memory — a revealed region of the map goes dark again, at random. Going back returns it. On the sixth crossing the bridge gives you a name, and one segment of your wall changes material on its own.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_BRIDGE_OF_RETURNERS,O guarda do registo de travessias. Há pegadas no sentido contrário e nunca ninguém vem de lá.,The keeper of the crossing register. There are footprints going the other way and no one ever comes from there.,o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
CHAPTER_ENDLESS_SIEGE,O Cerco Que Não Acaba,The Siege That Does Not End,nome de capítulo — §77,40,"Nome provisório (§04, §36)."
CHAPTER_LAW_ENDLESS_SIEGE,"Entras e ficas numa noite que não acaba. Só termina de duas maneiras: partes a muralha, ou abres o portão por dentro.","You enter and stay in a night that does not end. It finishes in two ways only: you break the wall, or you open the gate from inside.","a lei do capítulo, numa frase — §77",,"Regra 1 da §77: uma lei. Se precisar de duas, são dois capítulos."
CHAPTER_WHO_ENDLESS_SIEGE,"Um rei que não manda parar o cerco, porque no dia em que mandar tem de contar os mortos.","A king who does not call off the siege, because the day he does he has to count the dead.",o habitante — §77,,Regra 2 da §77: cumpre a lei e nunca a justifica.
AMARGUEIRO_FELL,Cortar,Fell,destino de um Amargueiro — §74,20,
AMARGUEIRO_CONSECRATE,Consagrar,Consecrate,destino de um Amargueiro — §74,20,
AMARGUEIRO_LEAVE,Deixar,Leave,destino de um Amargueiro — §74,20,
CREATURE_TENDER,Zelador,Tender,nome de conteúdo — creature,24,"Nasce da Dívida da Candeia ≥ 6. Não ataca, não morre: afasta-se."
